SL No,Company,Country,Country Code,Market Cap,Diversity,Stock Price (2015),Stock Price (2016),Stock Price (2017),Stock Price (2018),Stock Price (2019),Stock Price (2020),Stock Price (2021),Stock Price (2022),Stock Price (2023),Stock Price (2024),Expense (2015),Expense (2016),Expense (2017),Expense (2018),Expense (2019),Expense (2020),Expense (2021),Expense (2022),Expense (2023),Expense (2024),Revenue (2015),Revenue (2016),Revenue (2017),Revenue (2018),Revenue (2019),Revenue (2020),Revenue (2021),Revenue (2022),Revenue (2023),Revenue (2024),Market share (2015),Market share (2016),Market share (2017),Market share (2018),Market share (2019),Market share (2020),Market share (2021),Market share (2022),Market share (2023),Market share (2024)
1,Zooxo,Ukraine,UAH,$2.34B,43.5,$636.19M,$36.17B,n/a,$1.06B,$308.22M,$514.13M,$21.66M,$555.7M,$355.28M,n/a,$20101562.63,$51007842.36,$62056576.98,$79478124.95,$52885481.03,$71228506.48,$17224689.73,$96688655.13,$67582493.42,$81035180.73,$11889859.91,$12926239.97,$26106119.10,$86658338.25,$21961920.16,$93825082.89,$50393952.13,$78632245.86,$95627554.77,$39485065.72,28.24,42.01,73.14,90.64,56.8,48.79,35.4,65.88,38.85,77.69
2,Gabtype,Brazil,BRL,$30.67B,53.4,$1.33B,$127.36B,$1.97M,$192.01M,$213.58M,$36.76B,$29.72M,$61.78M,n/a,$28.43B,$4900246.33,$11650445.38,$14571356.05,$1538107.74,$61686123.87,$58635750.09,$21049564.20,$29790519.29,$32879281.41,$64622482.02,$19402078.01,$73943317.58,$12844161.78,$32226487.57,$49520814.50,$83288693.79,$62086303.35,$79287568.31,$81877647.40,$8402729.73,75.06,71.2,11.7,37.98,67.95,40.41,65.85,55.78,96.02,4.96
3,Quinu,China,CNY,$26.32M,83.0,$939.02M,$1.17B,$54.95M,$104.11M,$154.12M,$304.81M,$1.35B,$3.64M,$605.33M,$506.02M,$60673981.71,$99678457.47,$36398868.22,$53414162.46,$75717239.66,$74607668.87,$75058132.59,$56039420.16,$49923900.92,$77376554.73,$61952007.92,$4793577.98,$11203927.55,$47853775.70,$58030133.87,$61362949.80,$82140301.96,$48313197.44,$93840692.00,$33385086.57,89.76,5.96,14.47,34.17,47.13,98.81,21.61,24.12,39.43,95.5
4,Youbridge,Colombia,COP,$695.78M,89.2,$598.91M,$36.35M,n/a,$1.37B,n/a,$18.22M,$3.59B,$1.16B,$38.95B,$2.27B,$72236597.26,$55957744.02,$41182847.32,$20591006.78,$88160256.05,$85655724.93,$42835010.02,$97141264.44,$69855216.93,$1105937.61,$16087183.93,$55259461.15,$61187310.56,$110632.67,$41323513.71,$67469791.69,$63705126.12,$99954513.88,$81833572.76,$16681705.11,99.23,20.26,11.82,1.46,54.58,53.21,10.06,98.89,67.63,36.43
5,Oyope,Ukraine,UAH,$1.28B,23.3,$2.05B,$399.95M,$637.42M,$1.84B,$11.24M,$3.38B,$18.56M,$1.66B,$162.72M,$252.54M,$56781499.30,$89310600.91,$3009926.65,$52502180.78,$28437016.63,$6613480.50,$26043382.76,$23624141.85,$92308441.13,$27950522.54,$93589034.46,$2150706.19,$18188663.63,$69999698.77,$14672498.92,$24624093.71,$60783357.79,$22954634.94,$92947961.31,$67736225.00,30.98,9.56,85.57,21.37,6.9,91.74,50.53,61.35,76.39,11.98
6,Rhynyx,Indonesia,IDR,$8.39B,84.6,$5.45B,$719.35M,$1.64B,$54.29M,$29.03B,$14.4B,$907.09M,$905.69M,$63.94M,$2.65B,$49473845.26,$83275054.66,$68644102.18,$57320444.16,$99331709.35,$51482514.91,$42256230.34,$30599817.41,$17765472.77,$49774496.35,$4922778.67,$4665618.78,$24714134.14,$13467233.46,$30406926.40,$2903818.69,$81470253.86,$40522337.57,$79753601.74,$25550434.62,58.54,81.1,6.2,62.17,28.1,97.31,90.25,99.29,88.79,19.18
7,Babblestorm,Indonesia,IDR,$9.26B,48.1,$189.2M,$3.47B,$1.04B,$7.89B,$1.6B,$250.34M,$291.31M,$2.66B,$100.44M,n/a,$78656084.32,$49019750.69,$88304627.95,$42234971.39,$88303729.87,$43264008.91,$92879990.94,$4473639.65,$46811340.45,$63954355.54,$69306334.17,$16456674.55,$28359289.87,$23117808.61,$52799806.76,$52817997.62,$40860270.62,$23520045.23,$51962504.35,$86028181.71,59.34,14.25,67.52,89.34,36.9,95.12,93.54,39.29,12.83,97.27
8,Jabberbean,Croatia,HRK,$113.2M,62.1,$1.68B,$24.77M,n/a,$575.9M,$61.14B,$729.05M,$100.04M,$875.69M,n/a,$3.26B,$77094063.10,$18138379.76,$24147255.90,$19485459.52,$93702262.55,$69150464.84,$4454713.82,$91711678.80,$75755387.21,$13085130.54,$62935572.12,$9978838.97,$30531484.68,$89058274.71,$74505929.12,$6714232.38,$5686909.80,$34203989.10,$61866819.06,$78403497.34,50.01,73.61,27.75,74.92,77.28,89.06,42.56,69.48,19.1,62.46
9,Kamba,Ivory Coast,XOF,$121.9M,48.4,n/a,$146.86M,$120.74M,$150.94M,$212.14M,$221.12M,$157.69B,$195.66M,$192.45M,$2.05B,$95089576.15,$65534962.74,$92531931.96,$36864516.58,$13431153.24,$42247527.30,$55565744.86,$79744370.90,$30124368.04,$66779560.41,$29204668.88,$81014309.02,$76536134.63,$19742181.69,$61213569.66,$20321603.24,$75955.75,$30940536.32,$6388265.88,$66704009.00,32.91,5.29,33.04,77.73,76.26,31.84,90.46,33.8,87.31,29.75
10,Abatz,Indonesia,IDR,$488.16M,74.7,$239.77M,$16.97B,$5B,n/a,$13.65B,$46.06M,n/a,$134.83M,$84.71M,$40.32M,$74262885.24,$31479420.81,$24647335.37,$77786698.32,$74802800.24,$93746459.51,$53326241.53,$70688943.77,$47020224.54,$71149576.09,$11826216.30,$25795973.10,$8761293.27,$93466692.02,$10124568.30,$93969371.89,$17609823.90,$14690513.78,$64877205.78,$24598116.61,68.65,82.74,38.37,92.5,71.68,91.64,13.91,61.39,44.07,19.46
